"title","body","isPullRequest","labels"
"Internal Server Error java.lang.NullPointerException when uploading or creating a file to gitBucket"," ## Issue **Impacted version4.20.0:    gitbucket.core.controller.RepositoryViewerControllerBase.$anonfun$commitFiles$1(RepositoryViewerController.scala:705) -- scala.collection.TraversableLike.$anonfun$map$1(TraversableLike.scala:234) scala.collection.IndexedSeqOptimized.foreach(IndexedSeqOptimized.scala:32) scala.collection.IndexedSeqOptimized.foreach$(IndexedSeqOptimized.scala:29) scala.collection.mutable.WrappedArray.foreach(WrappedArray.scala:38) scala.collection.TraversableLike.map(TraversableLike.scala:234) scala.collection.TraversableLike.map$(TraversableLike.scala:227) scala.collection.AbstractTraversable.map(Traversable.scala:104) gitbucket.core.controller.RepositoryViewerControllerBase.commitFiles(RepositoryViewerController.scala:704) gitbucket.core.controller.RepositoryViewerControllerBase.$anonfun$$init$$26(RepositoryViewerController.scala:255) gitbucket.core.util.WritableUsersAuthenticator.$anonfun$writableUsersOnly$2(Authenticator.scala:141) gitbucket.core.util.WritableUsersAuthenticator.$anonfun$authenticate$14(Authenticator.scala:148) scala.Option.map(Option.scala:146) gitbucket.core.util.WritableUsersAuthenticator.$anonfun$authenticate$13(Authenticator.scala:146) gitbucket.core.util.SyntaxSugars$.defining(SyntaxSugars.scala:12) gitbucket.core.util.WritableUsersAuthenticator.authenticate(Authenticator.scala:145) gitbucket.core.util.WritableUsersAuthenticator.$anonfun$writableUsersOnly$1(Authenticator.scala:141) gitbucket.core.controller.ValidationSupport.$anonfun$post$3(ValidationSupport.scala:25) org.scalatra.forms.FormSupport.validate(FormSupport.scala:14) org.scalatra.forms.FormSupport.validate$(FormSupport.scala:8) gitbucket.core.controller.ControllerBase.validate(ControllerBase.scala:33) gitbucket.core.controller.ValidationSupport.$anonfun$post$1(ValidationSupport.scala:25) org.scalatra.ScalatraBase.liftAction(ScalatraBase.scala:280) org.scalatra.ScalatraBase.$anonfun$invoke$1(ScalatraBase.scala:274) org.scalatra.ApiFormats.withRouteMultiParams(ApiFormats.scala:178) org.scalatra.ApiFormats.withRouteMultiParams$(ApiFormats.scala:164) gitbucket.core.controller.ControllerBase.withRouteMultiParams(ControllerBase.scala:33) org.scalatra.ScalatraBase.invoke(ScalatraBase.scala:273) org.scalatra.ScalatraBase.invoke$(ScalatraBase.scala:272) gitbucket.core.controller.ControllerBase.org$scalatra$json$JsonSupport$$super$invoke(ControllerBase.scala:33) org.scalatra.json.JsonSupport.$anonfun$invoke$1(JsonSupport.scala:88) org.scalatra.ApiFormats.withRouteMultiParams(ApiFormats.scala:178) org.scalatra.ApiFormats.withRouteMultiParams$(ApiFormats.scala:164) gitbucket.core.controller.ControllerBase.withRouteMultiParams(ControllerBase.scala:33) org.scalatra.json.JsonSupport.invoke(JsonSupport.scala:82) org.scalatra.json.JsonSupport.invoke$(JsonSupport.scala:81) gitbucket.core.controller.ControllerBase.invoke(ControllerBase.scala:33) org.scalatra.ScalatraBase.$anonfun$runRoutes$3(ScalatraBase.scala:248) scala.Option.flatMap(Option.scala:171) org.scalatra.ScalatraBase.$anonfun$runRoutes$1(ScalatraBase.scala:246) scala.collection.immutable.Stream.flatMap(Stream.scala:490) org.scalatra.ScalatraBase.runRoutes(ScalatraBase.scala:245) org.scalatra.ScalatraBase.runRoutes$(ScalatraBase.scala:243) gitbucket.core.controller.ControllerBase.runRoutes(ControllerBase.scala:33) org.scalatra.ScalatraBase.runActions$1(ScalatraBase.scala:169) org.scalatra.ScalatraBase.$anonfun$executeRoutes$6(ScalatraBase.scala:181) scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12) org.scalatra.ScalatraBase.cradleHalt(ScalatraBase.scala:199) org.scalatra.ScalatraBase.executeRoutes(ScalatraBase.scala:181) I have tried both of creating and   uploading and got the same error       org.scalatra.ScalatraBase.executeRoutes$(ScalatraBase.scala:150) gitbucket.core.controller.ControllerBase.executeRoutes(ControllerBase.scala:33) org.scalatra.ScalatraBase.$anonfun$handle$1(ScalatraBase.scala:123) scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12) scala.util.DynamicVariable.withValue(DynamicVariable.scala:58) org.scalatra.DynamicScope.withResponse(DynamicScope.scala:79) org.scalatra.DynamicScope.withResponse$(DynamicScope.scala:77) gitbucket.core.controller.ControllerBase.withResponse(ControllerBase.scala:33) org.scalatra.DynamicScope.$anonfun$withRequestResponse$1(DynamicScope.scala:59) scala.util.DynamicVariable.withValue(DynamicVariable.scala:58) org.scalatra.DynamicScope.withRequest(DynamicScope.scala:70) org.scalatra.DynamicScope.withRequest$(DynamicScope.scala:68) gitbucket.core.controller.ControllerBase.withRequest(ControllerBase.scala:33) org.scalatra.DynamicScope.withRequestResponse(DynamicScope.scala:58) org.scalatra.DynamicScope.withRequestResponse$(DynamicScope.scala:56) gitbucket.core.controller.ControllerBase.withRequestResponse(ControllerBase.scala:33) org.scalatra.ScalatraBase.handle(ScalatraBase.scala:123) org.scalatra.ScalatraBase.handle$(ScalatraBase.scala:119) gitbucket.core.controller.ControllerBase.org$scalatra$servlet$ServletBase$$super$handle(ControllerBase.scala:33) org.scalatra.servlet.ServletBase.handle(ServletBase.scala:53) org.scalatra.servlet.ServletBase.handle$(ServletBase.scala:46) gitbucket.core.controller.ControllerBase.org$scalatra$FlashMapSupport$$super$handle(ControllerBase.scala:33) org.scalatra.FlashMapSupport.$anonfun$handle$1(FlashMap.scala:170) scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12) scala.util.DynamicVariable.withValue(DynamicVariable.scala:58) org.scalatra.DynamicScope.withRequest(DynamicScope.scala:70) org.scalatra.DynamicScope.withRequest$(DynamicScope.scala:68) gitbucket.core.controller.ControllerBase.withRequest(ControllerBase.scala:33) org.scalatra.FlashMapSupport.handle(FlashMap.scala:145) org.scalatra.FlashMapSupport.handle$(FlashMap.scala:144) gitbucket.core.controller.ControllerBase.handle(ControllerBase.scala:33) org.scalatra.ScalatraFilter.$anonfun$doFilter$1(ScalatraFilter.scala:41) scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12) scala.util.DynamicVariable.withValue(DynamicVariable.scala:58) org.scalatra.ScalatraFilter.doFilter(ScalatraFilter.scala:41) org.scalatra.ScalatraFilter.doFilter$(ScalatraFilter.scala:36) gitbucket.core.controller.ControllerBase.doFilter(ControllerBase.scala:72) gitbucket.core.servlet.CompositeScalatraFilter.$anonfun$doFilter$2(CompositeScalatraFilter.scala:48) gitbucket.core.servlet.CompositeScalatraFilter.$anonfun$doFilter$2$adapted(CompositeScalatraFilter.scala:46) scala.collection.immutable.List.foreach(List.scala:389) scala.collection.generic.TraversableForwarder.foreach(TraversableForwarder.scala:35) scala.collection.generic.TraversableForwarder.foreach$(TraversableForwarder.scala:35) scala.collection.mutable.ListBuffer.foreach(ListBuffer.scala:44) gitbucket.core.servlet.CompositeScalatraFilter.doFilter(CompositeScalatraFilter.scala:46) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) gitbucket.core.servlet.PluginControllerFilter.doFilter(PluginControllerFilter.scala:44) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) org.scalatra.ScalatraFilter.$anonfun$doNotFound$1(ScalatraFilter.scala:79) scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12) org.scalatra.ScalatraBase.$anonfun$executeRoutes$5(ScalatraBase.scala:172) scala.Option.getOrElse(Option.scala:121) org.scalatra.ScalatraBase.$anonfun$executeRoutes$3(ScalatraBase.scala:172) scala.Option.getOrElse(Option.scala:121) org.scalatra.ScalatraBase.runActions$1(ScalatraBase.scala:172) org.scalatra.ScalatraBase.$anonfun$executeRoutes$6(ScalatraBase.scala:181) scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12) org.scalatra.ScalatraBase.cradleHalt(ScalatraBase.scala:199) org.scalatra.ScalatraBase.executeRoutes(ScalatraBase.scala:181) org.scalatra.ScalatraBase.executeRoutes$(ScalatraBase.scala:150) gitbucket.core.controller.ControllerBase.executeRoutes(ControllerBase.scala:33) org.scalatra.ScalatraBase.$anonfun$handle$1(ScalatraBase.scala:123) scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12) scala.util.DynamicVariable.withValue(DynamicVariable.scala:58) org.scalatra.DynamicScope.withResponse(DynamicScope.scala:79) org.scalatra.DynamicScope.withResponse$(DynamicScope.scala:77) gitbucket.core.controller.ControllerBase.withResponse(ControllerBase.scala:33) org.scalatra.DynamicScope.$anonfun$withRequestResponse$1(DynamicScope.scala:59) scala.util.DynamicVariable.withValue(DynamicVariable.scala:58) org.scalatra.DynamicScope.withRequest(DynamicScope.scala:70) org.scalatra.DynamicScope.withRequest$(DynamicScope.scala:68) gitbucket.core.controller.ControllerBase.withRequest(ControllerBase.scala:33) org.scalatra.DynamicScope.withRequestResponse(DynamicScope.scala:58) org.scalatra.DynamicScope.withRequestResponse$(DynamicScope.scala:56) gitbucket.core.controller.ControllerBase.withRequestResponse(ControllerBase.scala:33) org.scalatra.ScalatraBase.handle(ScalatraBase.scala:123) org.scalatra.ScalatraBase.handle$(ScalatraBase.scala:119) gitbucket.core.controller.ControllerBase.org$scalatra$servlet$ServletBase$$super$handle(ControllerBase.scala:33) org.scalatra.servlet.ServletBase.handle(ServletBase.scala:53) org.scalatra.servlet.ServletBase.handle$(ServletBase.scala:46) gitbucket.core.controller.ControllerBase.org$scalatra$FlashMapSupport$$super$handle(ControllerBase.scala:33) org.scalatra.FlashMapSupport.$anonfun$handle$1(FlashMap.scala:170) scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12) scala.util.DynamicVariable.withValue(DynamicVariable.scala:58) org.scalatra.DynamicScope.withRequest(DynamicScope.scala:70) org.scalatra.DynamicScope.withRequest$(DynamicScope.scala:68) gitbucket.core.controller.ControllerBase.withRequest(ControllerBase.scala:33) org.scalatra.FlashMapSupport.handle(FlashMap.scala:145) org.scalatra.FlashMapSupport.handle$(FlashMap.scala:144) gitbucket.core.controller.ControllerBase.handle(ControllerBase.scala:33) org.scalatra.ScalatraFilter.$anonfun$doFilter$1(ScalatraFilter.scala:41) scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12) scala.util.DynamicVariable.withValue(DynamicVariable.scala:58) org.scalatra.ScalatraFilter.doFilter(ScalatraFilter.scala:41) org.scalatra.ScalatraFilter.doFilter$(ScalatraFilter.scala:36) gitbucket.core.controller.ControllerBase.doFilter(ControllerBase.scala:72) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) gitbucket.core.servlet.TransactionFilter.$anonfun$doFilter$1(TransactionFilter.scala:39) gitbucket.core.servlet.TransactionFilter.$anonfun$doFilter$1$adapted(TransactionFilter.scala:30) com.github.takezoe.slick.blocking.BlockingJdbcProfile$BlockingAPI$BlockingDatabase.$anonfun$withTransaction$2(BlockingProfile.scala:207) slick.JdbcProfileBlockingSession$BlockingSession.withTransaction(TransactionalJdbcBackend.scala:26) com.github.takezoe.slick.blocking.BlockingJdbcProfile$BlockingAPI$BlockingDatabase.$anonfun$withTransaction$1(BlockingProfile.scala:207) com.github.takezoe.slick.blocking.BlockingJdbcProfile$BlockingAPI$BlockingDatabase.withSession(BlockingProfile.scala:200) com.github.takezoe.slick.blocking.BlockingJdbcProfile$BlockingAPI$BlockingDatabase.withTransaction(BlockingProfile.scala:207) gitbucket.core.servlet.TransactionFilter.doFilter(TransactionFilter.scala:30) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:52) org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193) org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:198) org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:96) org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:478) org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:140) org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:80) org.apache.catalina.valves.AbstractAccessLogValve.invoke(AbstractAccessLogValve.java:650) org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:87) org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:342) org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:799) org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:66) org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:868) org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1457) org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49) java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown   Source) java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown   Source) org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61) java.lang.Thread.run(Unknown   Source)  ","false","waiting 4 user feedback"
"Fix branch protection problem","In 4.24.0, branch protection setting has problem. This PR fix it.  ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [x] rebased my branch over master - [x] verified that project is compiling - [x] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [ ] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true","bug"
"Add absolute date/time display option","This PR can close #816. Add ""Absolute/Relative"" time option to system settings. By default, it still uses relateive time format.  ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [x] rebased my branch over master - [x] verified that project is compiling - [ ] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [ ] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true",
"Show mail address in profile page","Discussed in #673. It can be controlled by system settings. And it also show extra mail address introduced in #1939  ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [ ] rebased my branch over master - [x] verified that project is compiling - [x] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [x] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true",
"Fix editor preview bug","This bug introduced by #1962. It changed [diffUsingJS](https://github.com/gitbucket/gitbucket/pull/1962/files#diff-be5f4a4353aa2e21e8c7b9ccfb598651) but it didn't fix `editor.scala.html`.  ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [ ] rebased my branch over master - [x] verified that project is compiling - [ ] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [ ] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true","bug"
"Unable to fork a forked private repo !","## Members are unable to to fork a forked private repo. **Impacted version**: 4.23.1  **Problem description**: - I'm new to gitbucket. So I'll explain the scenario in details. - we've the following type of users :  (1. Admin(root), 2. Team Leader (Standard user), 3 Team Member (Standard user) ) ******************** - A private repo was created by an admin(admin/TestRepo) and an leader was added under Collaborators. Then the Team leader forked the same repo. - Again the team leader added a team member to the forked repo (Leader/TestRepo) under Collaborators. - But when the team member login in he's able to see the repo, but he is unable to fork it. - Error says Failed to create repository (screenshot attached) with a database error. I'm unable to find out the issue, I've installed the same version of gitbucket in other computers , but same issue. - Please help. - But the same issue doesn't occur when the admin creates a public repo.  ![issue](https://user-images.githubusercontent.com/15172478/39404385-d8328a1c-4baf-11e8-9a9e-be3b7e46ab80.png) ","false",
"set ace editor mode by ext-modelist.js","ace editor has [many modes](https://github.com/ajaxorg/ace/blob/0155d37327fd08b9b7c6d033621b7ba6d8918622/lib/ace/ext/modelist.js#L45-L195). This PR enables all modes by javascript mode lookup method instead of scala method.  ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [ ] rebased my branch over master - [x] verified that project is compiling - [ ] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [ ] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true",
"Issue/PullRequest hooks doesn't called when issue/pr closed by pushed commit","In #1880 I figured out this problem. #1880 is **webhook** issue. This issue is **plugin hook** issue.  > the commit pushed from ssh also should fires webhook and plugin's hook. But plugin's hook requires gitbucket.core.controller.Context (which requires HttpServletRequest). I can't create Context in ssh session.  At least, I know issue hook used by notification plugin. Then, it affects ""No mail send when issue closed by commit comment"". ","false","bug"
"call issue closed webhook when pushed commit contains keywords","This PR fixes #1880.  But, it doesn't call plugin's hooks.  ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [ ] rebased my branch over master - [x] verified that project is compiling - [ ] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [x] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true","bug"
"close and mark as merged PR by pushed commits","In [git-flow](https://github.com/nvie/gitflow), developer creates feature branch and make PR on web UI. and reviewer merges it by `git flow feature finish`. `git flow feature finish` merges feature branch into develop branch locally.  In this flow, created PR isn't closed automatically. Of course, user can close PR manually, but it doesn't show that this PR is merged or not.  This PR solves this problem. PRs are marked as merged and closed if:  - PR is open - PR's branch is pushed branch - pushed commits contains PR's commitIdTo  I can't decide last condition is valid or not. Perhaps, it should be change to ""pushed commits contains all commits in PR""...?  ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [ ] rebased my branch over master - [x] verified that project is compiling - [ ] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [ ] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true","feature"
"don't separate user:branch in PR message","PR message shows ""into user:branch from user :branch"". There is unexpected space.  ![image](https://user-images.githubusercontent.com/6997928/39396607-1c07d294-4b2c-11e8-9fe3-a2e7e2f7af2b.png)  This PR removes it.  ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [ ] rebased my branch over master - [x] verified that project is compiling - [ ] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [ ] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true","bug"
"show file icons"," ![20180428-163537](https://user-images.githubusercontent.com/6997928/39393746-0565c9ec-4b04-11e8-84da-b4551d6dec7d.png)   ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [ ] rebased my branch over master - [x] verified that project is compiling - [ ] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [ ] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true",
"show tags on commits page","### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [ ] rebased my branch over master - [x] verified that project is compiling - [ ] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [x] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true","improvement"
"Scala 2.12.6",,"true",
"Trigger a Jenkins Pipeline after a Push","Hi.  I try to trigger a jenkins pipeline after i do a push in a gitbucket repo.  The GitBucket plugin in jenkins only alows me to add this trigger in a freestyle project and not in a pipeline.  My try with the github jenkins plugin was not successfully. If i use the github plugin, i see the push in jenkins log, but no builds are triggered. Can anyone help how to trigger a jenkins pipeline build after push in gitbucket?   Thank you very much.  ","false","question"
